Club;Pts;Mat.;Vict.;Nuls;Def.;B.O.;B.D.;+;-;Diff.;Pts Brit.
Clermont;48;13;9;2;2;6;2;419;233;186;24
Toulouse;45;13;9;2;2;4;1;348;242;106;17
La Rochelle;42;13;10;0;3;2;0;330;270;60;14
Lyon;36;13;7;1;5;5;1;329;255;74;12
Paris;36;13;8;0;5;2;2;283;264;19;12
Bordeaux-Bègles;39;13;8;1;4;3;2;322;248;74;11
Racing 92;36;13;8;0;5;3;1;356;280;76;8
Castres;29;13;6;0;7;2;3;258;304;-46;5
Montpellier;32;13;6;1;6;2;4;327;280;47;4
Toulon;24;13;5;0;8;3;1;237;283;-46;-4
Grenoble;20;13;3;2;8;0;4;239;306;-67;-4
Pau;19;13;4;0;9;0;3;236;357;-121;-5
Agen;17;13;3;1;9;0;3;200;381;-181;-7
Perpignan;4;13;0;0;13;0;4;216;397;-181;-24
