Clermont;ASM Clermont;ASM Clermont
Toulouse;Stade Toulousain;Stade toulousain
La Rochelle;Stade Rochelais;Stade rochelais
Bordeaux-Bègles;Union Bordeaux-Bègles;Bordeaux-Bègles
Lyon;LOU;Lyon OU
Racing 92;Racing 92;Racing 92
Paris;Stade Français;Stade français
Montpellier;MHR;Montpellier HR
Castres;Castres Olympique;Castres olympique
Toulon;RC Toulon;RC Toulon
Grenoble;FCG;FC Grenoble
Pau;Section Paloise;Section paloise
Agen;SUA;SU Agen
Perpignan;USAP;USA Perpignan
